task_name,measurement,processed_task_name,cluster,general_name,work_name_corr
Монтаж сварного полимерного трубопровода наружных ИС Д мм 377-630,м,монтаж сварного полимерного трубопровода наружных ис д мм,67,сварного полимерного трубопровода ис наружных, Монтаж сварного полимерного трубопровода наружных и я мы 377-630
Монтаж ЗРА наружных ИС Д мм <57,шт,монтаж зра наружных ис д мм,65,зра наружных ис монтаж мм, Монтаж за наружных и я мы <57
Демонтаж технологической газовой ЗРА Д мм 720-1020,шт,демонтаж технологической газовой зра д мм,279,газовой технологической зра демонтаж мм, Демонтаж технологической газовый за я мы 720-1020
Устройство прямых врезок Д мм 57-89,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм, Устройство прямые врезок я мы 57-89
Бетонирование перекрытия,м3,бетонирование перекрытия,262,бетонирование фундаментов перекрытия полов оборудование, Бетонирование перекрытия
Устройство гидроизоляции оклеечной,м2,устройство гидроизоляции оклеечной,148,гидроизоляции оклеечной устройство обмазочной пленки, Устройство гидроизоляции оклеечной
Монтаж системы подвода воздуха к турбоблоку,компл,монтаж системы подвода воздуха турбоблоку,82,воздуха системы подвода монтаж отвода, Монтаж системы подвода воздуха я турбоблоку
Монтаж сварного полимерного трубопровода внутренних ИС Д мм 57-89,м,монтаж сварного полимерного трубопровода внутренних ис д мм,67,сварного полимерного трубопровода ис наружных, Монтаж сварного полимерного трубопровода внутренних и я мы 57-89
Демонтаж защитного заземления зданий и сооружений,м,демонтаж защитного заземления зданий сооружений,129,заземления защитного зданий сооружений заземлителем, Демонтаж защитного заземления здание и сооружений
Демонтаж ГПА-Ц-25ОК РМ.С,шт,демонтаж гпацок рмс,225,гпацок рмс демонтаж монтаж эхз, Демонтаж ГПА-Ц-25ОК РМ.С
Установка крутоизогнутых отводов типа ОГ Д мм 1220-1420,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа, Установка крутоизогнутых отводов типа он я мы 1220-1420
Монтаж системы контроля газовой магистрали,компл,монтаж системы контроля газовой магистрали,88,контроля магистрали газовой системы патрубков, Монтаж системы контроля газовый магистрали
Изоляция ТУМ стыков трубопроводов Д 108-168,стык,изоляция тум стыков трубопроводов д,19,изоляция тум стыков трубопроводов эхз, Изоляция там стыков трубопроводов я 108-168
Пневматическое испытание трубопроводов Д мм 219-325,км,пневматическое испытание трубопроводов д мм,5,пневматическое испытание трубопроводов мм конструкций, Пневматическое испытание трубопроводов я мы 219-325
Расчистка от лесорастительности при строительстве трубопроводов Д мм <325,км,расчистка лесорастительности строительстве трубопроводов д мм,48,лесорастительности расчистка строительстве трубопроводов мм, Расчистка от лесорастительности при строительство трубопроводов я мы <325
Устройство глубинных реперов,м3,устройство глубинных реперов,152,реперов глубинных устройство эхз конструкций, Устройство глубинных реперов
Теплоизоляция оборудования,м3,теплоизоляция оборудования,166,теплоизоляция сегментами полуцилиндрами цилиндрами трубопроводов, Теплоизоляция оборудование
Подвеска провода через преграды (вкл. водные) в три нитки с тросом с помощью механизмов 35-500 кВ,переход,подвеска провода преграды вкл водные нитки тросом помощью механизмов кв,109,нитки провода кв вкл подвеска, Подвеска провода через преграды (вкл. водные я три никки я тросом я помощью механизмов 35-500 ко
Демонтаж футеровки из футеровочных реек трубопроводов Д мм 720-1020,км,демонтаж футеровки футеровочных реек трубопроводов д мм,52,реек футеровки футеровочных демонтаж трубопроводов, Демонтаж футеровки из футеровочных реке трубопроводов я мы 720-1020
Балластировка трубопроводов устройствами типа УЧК Д мм 720-1020,шт,балластировка трубопроводов устройствами типа учк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа учи я мы 720-1020
Азотирование трубопроводов Д мм 377-630,км,азотирование трубопроводов д мм,44,азотирование трубопроводов мм кпв коробок, Азотирование трубопроводов я мы 377-630
Демонтаж вставки электроизолирующей на трубопроводе Д мм 720-1020,шт,демонтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж, Демонтаж ставки электроизолирующей на трубопроводе я мы 720-1020
Сварка ТТ Д 377-630 на эстакадах высотой свыше 25 м,стык,сварка тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, свалка ты я 377-630 на эстакадах высотой свыше 25 я
Гидравлическое испытание трубопроводов Д мм 219-325,км,гидравлическое испытание трубопроводов д мм,2,гидравлическое испытание трубопроводов мм коробчатых, Гидравлическое испытание трубопроводов я мы 219-325
Установка дорожных знаков,шт,установка дорожных знаков,214,знаков дорожных установка демонтаж коробов, Установка дорожные знаком
Перевозка леса,т/км,перевозка леса,235,леса перевозка эхз конструкции коробов, Перевозка леса
Очистка внутренней полости трубопроводов воздухом Д мм 1220-1420,км,очистка внутренней полости трубопроводов воздухом д мм,8,воздухом очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов воздухом я мы 1220-1420
Очистка внутренней полости трубопроводов водой Д мм 377-630,км,очистка внутренней полости трубопроводов водой д мм,10,водой очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов водой я мы 377-630
Демонтаж оборудования сетей КТСО,шт,демонтаж оборудования сетей ктсо,277,оборудования сетей демонтаж монтаж оэ, Демонтаж оборудование детей кто
Демонтаж вентилируемых фасадов,м2,демонтаж вентилируемых фасадов,226,фасадов вентилируемых демонтаж монтаж конструкции, Демонтаж вентилируемых фасадов
Монтаж системы топливного газа,компл,монтаж системы топливного газа,81,топливного газа системы установка монтаж, Монтаж системы топливного газа
Гидравлическое испытание трубопроводов Д мм <57,км,гидравлическое испытание трубопроводов д мм,2,гидравлическое испытание трубопроводов мм коробчатых, Гидравлическое испытание трубопроводов я мы <57
Демонтаж деревянных опор ВЛ/КЛС,шт,демонтаж деревянных опор влклс,112,влклс опор деревянных железобетонных отдельно, Демонтаж деревянные пор ВЛ/КЛС
УЗК сварных соединений трубопроводов Д мм 1220-1420,стык,узк сварных соединений трубопроводов д мм,12,узк соединений сварных трубопроводов мм, узи сварных соединение трубопроводов я мы 1220-1420
Пневматическое испытание трубопроводов инженерных сетей Д мм 219-325,км,пневматическое испытание трубопроводов инженерных сетей д мм,6,пневматическое инженерных испытание сетей трубопроводов, Пневматическое испытание трубопроводов инженерный детей я мы 219-325
Магнитопорошковый контроль стыков Д мм 57-89,стык,магнитопорошковый контроль стыков д мм,24,магнитопорошковый контроль стыков мм эхз, Магнитопорошковый контроль стыков я мы 57-89
Вырезка гнутых отводов трубопроводов Д мм <57,шт,вырезка гнутых отводов трубопроводов д мм,40,вырезка гнутых отводов трубопроводов мм, Вырезка гнутых отводов трубопроводов я мы <57
Установка электродов сравнения,шт,установка электродов сравнения,216,сравнения электродов установка демонтаж эхз, Установка электродов сравнение
Демонтаж ЗРА внутренних инженерных сетей Д мм <57,шт,демонтаж зра внутренних инженерных сетей д мм,280,инженерных внутренних сетей демонтаж зра, Демонтаж за внутренних инженерный детей я мы <57
ВИК сварных соединений трубопроводов Д мм 377-630,стык,вик сварных соединений трубопроводов д мм,15,вик соединений сварных трубопроводов мм, ВИК сварных соединение трубопроводов я мы 377-630
Установка и сборка опоры выхлопной системы,компл,установка сборка опоры выхлопной системы,85,системы воздухозаборной сборка выхлопной установка, Установка и уборка споры выхлопной системы
Демонтаж теплоизоляции трубопроводов (пенополиуретан),м3,демонтаж теплоизоляции трубопроводов пенополиуретан,187,теплоизоляции демонтаж трубопроводов пенополиуретан сталью, Демонтаж теплоизоляции трубопроводов (пенополиуретан)
Строительство переходов открытым способом Д мм 219-325,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм, Строительство переходов открытым способом я мы 219-325
Устройство основания из буроопускных металлических свай,шт,устройство основания буроопускных металлических свай,273,металлических свай основания устройство буроопускных, Устройство основания из буроопускных металлический свай
Демонтаж противоподкопного барьера,м,демонтаж противоподкопного барьера,220,барьера противоподкопного безопасности акл устройство, Демонтаж противоподкопного карьера
РК сварных соединений трубопроводов Д мм 108-168,стык,рк сварных соединений трубопроводов д мм,13,рк соединений сварных трубопроводов мм, ак сварных соединение трубопроводов я мы 108-168
Посадка кустарников и саженцев,шт,посадка кустарников саженцев,254,водоотлив лесовосстановление металлорукава посев обоями, Посадка кустарников и саженцев
Прокладка трубы гофрированной под кабельную продукцию,м,прокладка трубы гофрированной кабельную продукцию,197,кабельную продукцию гофрированной трубопроводов трубы, Прокладка трубы гофрированной под кабельную продукцию
Установка муфт соединительных (кабель массой 1 м до 9 кг),шт,установка муфт соединительных кабель массой м кг,103,кабель муфт соединительных установка кг, Установка муфт соединительных кабель массой 1 я до 9 кг)
Демонтаж битумно-уретановой изоляции трубопроводов Д 720-1020 механизированным способом,м2,демонтаж битумноуретановой изоляции трубопроводов д механизированным способом,22,битумноуретановой способом изоляции механизированным демонтаж, Демонтаж битумно-уретановой изоляция трубопроводов я 720-1020 механизированным способом
АКЗ м/к лакокрасочным покрытием (очистка поверхности вручную),м2,акз мк лакокрасочным покрытием очистка поверхности вручную,178,поверхности лакокрасочным покрытием акз очистка, ак мак лакокрасочным покрытием очистка поверхности вручную)
Ремонт сварных стыков Д мм <57,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз, Ремонт сварных стыков я мы <57
Монтаж системы маслообеспечения компрессора,компл,монтаж системы маслообеспечения компрессора,78,маслообеспечения системы гту компрессора монтаж, Монтаж системы маслообеспечения компрессора
Прокладка кабеля электрической сети в траншее (массой 1 м до 18 кг),м,прокладка кабеля электрической сети траншее массой м кг,59,траншее сети кг кабеля прокладка, Прокладка кабель электрический сети я траншее (массой 1 я до 18 кг)
Ремонт сварных стыков Д мм 720-1020,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз, Ремонт сварных стыков я мы 720-1020
Трубопровод ПОС,компл,трубопровод пос,238,пос изоляции трубопровод монтаж эхз, Трубопровод по
Демонтаж станции электродренажной защиты (СДЗ),шт,демонтаж станции электродренажной защиты сдз,195,электродренажной сдз станции защиты демонтаж, Демонтаж станции электродренажной защиты (СДЗ)
Демонтаж кровельного покрытия (сэндвич-панели),м2,демонтаж кровельного покрытия сэндвичпанели,135,кровельного покрытия профлист сэндвичпанели демонтаж, Демонтаж кровельного покрытия (сэндвич-панели)
Пневматическое испытание трубопроводов Д мм 377-630,км,пневматическое испытание трубопроводов д мм,5,пневматическое испытание трубопроводов мм конструкций, Пневматическое испытание трубопроводов я мы 377-630
Предварительное гидравлическое испытание трубопроводов Д мм 720-1020,км,предварительное гидравлическое испытание трубопроводов д мм,1,предварительное гидравлическое испытание трубопроводов мм, Предварительное гидравлическое испытание трубопроводов я мы 720-1020
Монтаж оборудования массой до 60 тн,шт,монтаж оборудования массой тн,276,тн оборудования массой демонтаж монтаж, Монтаж оборудование массой до 60 ты
Устройство устоев,шт,устройство устоев,153,устоев устройство эхз конструкции коробов, Устройство устоев
"Испытания сосудов, резервуаров и оборудования",м3,испытания сосудов резервуаров оборудования,193,сосудов резервуаров оборудования испытания осушка," Испытания сосудов, резервуаров и оборудование"
Устройство основания из забивных железобетонных свай,м3,устройство основания забивных железобетонных свай,274,свай железобетонных основания устройство буронабивных, Устройство основания из забивных железобетонных свай
"Монтаж системы вентиляции турбоблока (нагнетающая, отводящая, охлаждения, трансмиссии)",компл,монтаж системы вентиляции турбоблока нагнетающая отводящая охлаждения трансмиссии,249,турбоблока компрессором нагнетающая отводящая монтаж," Монтаж системы вентиляции турбоблока (нагнетающая, отводящая, охлаждения, трансмиссии)"
Устройство прямых врезок под давлением Д мм 57-89,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм, Устройство прямые врезок под давление я мы 57-89
Устройство грунтовых постелей под водой водолазами,м2,устройство грунтовых постелей водой водолазами,94,водой водолазами грунта разработка подбивка, Устройство грунтовых постелей под водой водолазами
Демонтаж оборудования системы вентиляции,шт,демонтаж оборудования системы вентиляции,73,вентиляции системы монтаж трубопровода аварийной, Демонтаж оборудование системы вентиляции
Демонтаж трубопроводов внутренних инженерных сетей Д мм 57-89,м,демонтаж трубопроводов внутренних инженерных сетей д мм,280,инженерных внутренних сетей демонтаж зра, Демонтаж трубопроводов внутренних инженерный детей я мы 57-89
Монтаж оборудования сетей СС,шт,монтаж оборудования сетей сс,277,оборудования сетей демонтаж монтаж оэ, Монтаж оборудование детей со
"Монтаж ГТУ, трансмиссии, центровка ГТУ с компрессором",компл,монтаж гту трансмиссии центровка гту компрессором,80,гту цбн монтаж авом центровка," Монтаж ГТУ, трансмиссии, центровка эту я компрессором"
Устройство кровли различных типов из металлочерепицы,м2,устройство кровли различных типов металлочерепицы,144,кровли мягкой устройство различных металлочерепицы, Устройство крови различных типо из металлочерепицы
Монтаж колонн,шт,монтаж колонн,210,колонн поясов балок ригелей перемычек, Монтаж колонна
Снятие обоев,м2,снятие обоев,251,снятие обоев лакокрасочного вручную покрытия, Снятие обоев
Уплотнение грунта виброплитами,м3,уплотнение грунта виброплитами,254,водоотлив лесовосстановление металлорукава посев обоями, Уплотнение грунта виброплитами
Демонтаж металлических дверных блоков (наружных),м2,демонтаж металлических дверных блоков наружных,170,дверных блоков металлических наружных установка, Демонтаж металлический дверных блоков (наружных)
Шпатлевка поверхности стен,м2,шпатлевка поверхности стен,176,шпатлевка поверхности потолков стен эхз, Шпатлевка поверхности стен
Установка крутоизогнутых отводов типа ОГ Д мм <57,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа, Установка крутоизогнутых отводов типа он я мы <57
Ручная сварка стального трубопровода наружных ИС Д мм 57-89,стык,ручная сварка стального трубопровода наружных ис д мм,62,стального ручная наружных трубопровода ис, Ручная свалка стального трубопровода наружных и я мы 57-89
Раскладка труб на трассе Д мм <57,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции, Раскладка труп на трассе я мы <57
Монтаж технологических захлестов Д мм 1220-1420,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз, Монтаж технологических захлестов я мы 1220-1420
Контроль качества изоляционного покрытия трубопроводов Д мм 108-168,км,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы 108-168
Демонтаж колодцев дренажных железобетонных,шт,демонтаж колодцев дренажных железобетонных,122,колодцев железобетонных глубинных дренажных устройство, Демонтаж колодцев дренажных железобетонных
Гидравлическое испытание трубопроводов Д мм 108-168,км,гидравлическое испытание трубопроводов д мм,2,гидравлическое испытание трубопроводов мм коробчатых, Гидравлическое испытание трубопроводов я мы 108-168
Снятие покрытия из асфальтобетонной смеси,м2,снятие покрытия асфальтобетонной смеси,136,смеси покрытия асфальтобетонной устройство песчаногравийной, Снятие покрытия из асфальтобетонной смесь
Монтаж устройства катодной защиты высоковольтного УКЗВ с заземлением,шт,монтаж устройства катодной защиты высоковольтного укзв заземлением,194,укзв заземлением устройства высоковольтного защиты, Монтаж устройства катодной защиты высоковольтного УКЗВ я заземлением
Обратная засыпка траншеи под трубопровод Д 108-168,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной, Обратная засыпка траншеи под трубопровод я 108-168
Биологическая рекультивация,га,биологическая рекультивация,245,рекультивация биологическая техническая эхз конструкции, Биологическая рекультивация
Демонтаж элементов внутренних инженерных сетей,шт,демонтаж элементов внутренних инженерных сетей,280,инженерных внутренних сетей демонтаж зра, Демонтаж элементов внутренних инженерный детей
Разработка грунта экскаваторами из-под воды с плавучих средств,м3,разработка грунта экскаваторами изпод воды плавучих средств,95,изпод средств экскаваторами плавучих воды, Разработка грунта экскаваторами из-под воды я плавучих средств
Установка крутоизогнутых отводов типа ОГ Д мм 57-89,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа, Установка крутоизогнутых отводов типа он я мы 57-89
Устройство стяжки,м3,устройство стяжки,154,устройство газонов стяжки отмостки бетонной, Устройство стяжки
Трубопроводы подключения АВОМ к компрессору,компл,трубопроводы подключения авом компрессору,84,трубопроводы обвязки отсеке компрессору подключения, Трубопроводы подключение атом я компрессору
Изоляция ТУМ стыков трубопроводов Д 1220-1420,км,изоляция тум стыков трубопроводов д,19,изоляция тум стыков трубопроводов эхз, Изоляция там стыков трубопроводов я 1220-1420
Монтаж СПЦВ (противообледенительная система),компл,монтаж спцв противообледенительная система,145,противообледенительная спцв система монтаж эхз, Монтаж СПЦВ (противообледенительная система
Демонтаж трубопроводов наружных инженерных сетей Д мм 219-325,м,демонтаж трубопроводов наружных инженерных сетей д мм,281,инженерных наружных сетей демонтаж мм, Демонтаж трубопроводов наружных инженерный детей я мы 219-325
Прокладка кабеля электрической сети по эстакадам высотой свыше 15 м (массой 1 м до 6 кг),м,прокладка кабеля электрической сети эстакадам высотой свыше м массой м кг,61,электрической эстакадам сети кг кабеля, Прокладка кабель электрический сети по эстакадам высотой свыше 15 я (массой 1 я до 6 кг)
Сварка технологических трубопроводов диаметром до 12 мм,дм2,сварка технологических трубопроводов диаметром мм,240,диаметром технологических сварка трубопроводов свыше, свалка технологических трубопроводов диаметром до 12 мы
Ремонт и содержание ледовой переправы,км,ремонт содержание ледовой переправы,149,переправы ледовой содержание ремонт устройство, Ремонт и содержание ледовой переправы
Монтаж ЗРА наружных ИС Д мм 108-168,шт,монтаж зра наружных ис д мм,65,зра наружных ис монтаж мм, Монтаж за наружных и я мы 108-168
Демонтаж оконных блоков,м2,демонтаж оконных блоков,169,блоков оконных сау монтаж бэт, Демонтаж оконных блоков
Прокладка трубопроводов при пересечениях Д мм 1220-1420,шт,прокладка трубопроводов пересечениях д мм,51,пересечениях прокладка трубопроводов мм коробов, Прокладка трубопроводов при пересечениях я мы 1220-1420
Монтаж ГПА-32 Ладога,шт,монтаж гпа ладога,100,ладога гпа укрытия монтаж демонтаж, Монтаж ГПА-32 Ладога
Монтаж оборудования системы вентиляции,шт,монтаж оборудования системы вентиляции,73,вентиляции системы монтаж трубопровода аварийной, Монтаж оборудование системы вентиляции
"Демонтаж м/к зданий, строений и сооружений",т,демонтаж мк зданий строений сооружений,130,сооружений зданий мк каркасов строений," Демонтаж мак зданий, строение и сооружений"
Устройство гидроизоляции обмазочной,м2,устройство гидроизоляции обмазочной,148,гидроизоляции оклеечной устройство обмазочной пленки, Устройство гидроизоляции обмазочной
"Монтаж площадок обслуживания, переходных мостиков, ограждений подполья, перил",т,монтаж площадок обслуживания переходных мостиков ограждений подполья перил,98,площадок обслуживания гпа монтаж этап," Монтаж площадок обслуживания, переходных мостиков, ограждений подполья, шерил"
Монтаж опорных частей мостов,шт,монтаж опорных частей мостов,234,опорных частей мостов крепления конструкций, Монтаж опорных частей мостов
Устройство прямых врезок Д мм 108-168,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм, Устройство прямые врезок я мы 108-168
Устройство покрытия из асфальтобетонной смеси,м2,устройство покрытия асфальтобетонной смеси,136,смеси покрытия асфальтобетонной устройство песчаногравийной, Устройство покрытия из асфальтобетонной смесь
Демонтаж технологической газовой ЗРА Д мм 1220-1420,шт,демонтаж технологической газовой зра д мм,279,газовой технологической зра демонтаж мм, Демонтаж технологической газовый за я мы 1220-1420
РК сварных соединений трубопроводов Д мм 377-630,стык,рк сварных соединений трубопроводов д мм,13,рк соединений сварных трубопроводов мм, ак сварных соединение трубопроводов я мы 377-630
Демонтаж калиток ограждения,шт,демонтаж калиток ограждения,108,ограждения калиток ворот монтаж перильного, Демонтаж калиток ограждения
Демонтаж линолеума (полы),м2,демонтаж линолеума полы,227,полы демонтаж керамогранита ламината линолеума, Демонтаж линолеума (полы)
Демонтаж линейных трубопроводов Д мм 108-168,км,демонтаж линейных трубопроводов д мм,45,линейных демонтаж трубопроводов мм конструкции, Демонтаж линейных трубопроводов я мы 108-168
АКЗ м/к лакокрасочным покрытием (пескоструйная очистка поверхности),м2,акз мк лакокрасочным покрытием пескоструйная очистка поверхности,178,поверхности лакокрасочным покрытием акз очистка, ак мак лакокрасочным покрытием (пескоструйная очистка поверхности
Разработка траншеи под трубопровод Д 1220-1420,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок, Разработка траншеи под трубопровод я 1220-1420
"Демонтаж заглушек, монтаж промежуточных колец между компрессором и патрубками",компл,демонтаж заглушек монтаж промежуточных колец компрессором патрубками,201,колец промежуточных патрубками заглушек компрессором," Демонтаж заглушек, монтаж промежуточных колец между компрессором и патрубками"
Монтаж технологической ЗРА Д мм 219-325,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз, Монтаж технологической за я мы 219-325
Демонтаж разъединителей,шт,демонтаж разъединителей,231,разъединителей демонтаж монтаж эхз конструкции, Демонтаж разъединителей
Лидерное шнековое бурение скважин (под ГАЗ),м3,лидерное шнековое бурение скважин газ,142,бурение скважин роторное лидерное шнековое, Лидерное шнековое бурение скважин под газ
Монтаж прожекторов на мачте,шт,монтаж прожекторов мачте,224,мачте прожекторов демонтаж монтаж эхз, Монтаж прожекторов на марте
РК сварных соединений трубопроводов Д мм 219-325,стык,рк сварных соединений трубопроводов д мм,13,рк соединений сварных трубопроводов мм, ак сварных соединение трубопроводов я мы 219-325
"""Контроль за сваркой """"индикаторных"""" стыков""",компл,контроль сваркой индикаторных стыков,202,индикаторных сваркой контроль стыков проставки," контроль за сваркой """"индикаторных"""" стыков"""
Монтаж сборного полимерного трубопровода внутренних ИС Д мм <57,м,монтаж сборного полимерного трубопровода внутренних ис д мм,66,сборного полимерного трубопровода ис монтаж, Монтаж сборного полимерного трубопровода внутренних и я мы <57
Техническая рекультивация,га,техническая рекультивация,245,рекультивация биологическая техническая эхз конструкции, Техническая рекультивация
Сварка ТТ Д 108-168 на эстакадах высотой свыше 25 м,стык,сварка тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, свалка ты я 108-168 на эстакадах высотой свыше 25 я
Контроль качества изоляции трубопроводов методом катодной поляризации Д мм 219-325,км,контроль качества изоляции трубопроводов методом катодной поляризации д мм,20,поляризации катодной изоляции качества методом, Контроль качества изоляция трубопроводов методом катодной поляризации я мы 219-325
Монтаж технологических захлестов Д мм 108-168,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз, Монтаж технологических захлестов я мы 108-168
Монтаж резервуаров стальных вертикальных цилиндрических,т,монтаж резервуаров стальных вертикальных цилиндрических,192,цилиндрических вертикальных резервуаров стальных монтаж, Монтаж резервуаров остальных вертикальных цилиндрических
Монтаж АВОМ ГТУ и ЦБН,компл,монтаж авом гту цбн,80,гту цбн монтаж авом центровка, Монтаж атом эту и убн
Разработка грунта экскаватором,м3,разработка грунта экскаватором,96,разработка грунта скального бульдозером экскаватором, Разработка грунта экскаватором
